Año,Region Geografica,Sector,Sector Economico,Sub sector,Tamaño de Empresa, Porcentaje de las empresas que tienen un área encargada de las TIC , GOBERNANZA , Porcentaje de las empresas que tienen presupuesto para las TIC , Porcentaje del presupuesto total asignado a las TIC , PRESUPUESTO , Porcentaje de las empresas que invierten en capacitar al personal , Porcentaje de las empresas que considera que es importante que su empresa domine las TIC , CAPACITIACIÓN , Porcentaje de las empresas que cuentan con un protocolo para dar respuesta a incidentes digitales , Porcentaje de las empresas que han estimado los costos de incidentes digitales , Porcentaje de las empresas que tienen un área encargada de la seguridad informática , SEGURIDAD , Porcentaje de las empresas que consideran que el acceso a las TIC es importante , Porcentaje de las empresas que han realizado innovaciones en su empresa usando las TIC , INNOVACIÓN , Calculo del Indice 
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,Productos metalurgicos,Grandes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,Productos de quimicos /farmaceuticos /plasticos,Total,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,Productos de quimicos /farmaceuticos /plasticos,Micros,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,Productos de quimicos /farmaceuticos /plasticos,Pymes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,Productos de quimicos /farmaceuticos /plasticos,Grandes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,Madera y muebles,Total,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,Madera y muebles,Micros,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,Madera y muebles,Pymes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,Madera y muebles,Grandes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,Papel e impresión,Total,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,Papel e impresión,Micros,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,Papel e impresión,Pymes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,Papel e impresión,Grandes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,Otros manufactura,Total,  41.2 ,  41.2 ,  29.0 ,  15.8 ,  25.0 ,  30.4 ,  50.2 ,  38.3 ,  9.6 ,  3.9 ,  8.0 ,  8.0 ,  65.8 ,  28.1 ,  43.2 ,  31.1 
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,Otros manufactura,Micros,  28.4 ,  28.4 ,  18.6 ,  9.9 ,  16.0 ,  10.5 ,  45.3 ,  24.5 ,  1.6 ,  5.2 ,  3.4 ,  2.9 ,  56.0 ,  20.8 ,  34.9 ,  21.3 
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,Otros manufactura,Pymes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,Otros manufactura,Grandes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Pacifico,Sector Secundario,Servicios Publicos,Total,Total,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Pacifico,Sector Secundario,Servicios Publicos,Total,Micros,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Pacifico,Sector Secundario,Servicios Publicos,Total,Pymes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Pacifico,Sector Secundario,Servicios Publicos,Total,Grandes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Pacifico,Sector Secundario,Construccion,Total,Total,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Pacifico,Sector Secundario,Construccion,Total,Micros,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Pacifico,Sector Secundario,Construccion,Total,Pymes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Pacifico,Sector Secundario,Construccion,Total,Grandes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Pacifico,Sector Terciario,Total,Total,Total,  40.8 ,  40.8 ,  28.1 ,  12.7 ,  23.5 ,  33.7 ,  63.9 ,  45.8 ,  14.6 ,  7.8 ,  21.6 ,  15.3 ,  68.9 ,  29.6 ,  45.3 ,  34.1 
2017,Region Pacifico,Sector Terciario,Total,Total,Micros,  30.5 ,  30.5 ,  19.5 ,  9.2 ,  16.4 ,  22.3 ,  56.7 ,  36.1 ,  7.1 ,  4.8 ,  12.9 ,  8.4 ,  63.2 ,  21.9 ,  38.4 ,  26.0 
2017,Region Pacifico,Sector Terciario,Total,Total,Pymes,  61.7 ,  61.7 ,  44.1 ,  20.2 ,  37.0 ,  60.6 ,  80.7 ,  68.6 ,  31.6 ,  14.5 ,  39.9 ,  30.7 ,  82.1 ,  46.2 ,  60.6 ,  51.7 
2017,Region Pacifico,Sector Terciario,Total,Total,Grandes,  93.7 ,  93.7 ,  77.9 ,  30.0 ,  63.5 ,  77.9 ,  91.7 ,  83.4 ,  45.5 ,  19.5 ,  63.5 ,  45.7 ,  91.7 ,  65.5 ,  76.0 ,  72.5 
2017,Region Pacifico,Sector Terciario,Comercio,Total,Total,  34.9 ,  34.9 ,  20.5 ,  9.8 ,  17.3 ,  25.5 ,  57.6 ,  38.4 ,  12.9 ,  6.1 ,  16.6 ,  12.6 ,  64.2 ,  22.1 ,  38.9 ,  28.4 
2017,Region Pacifico,Sector Terciario,Comercio,Total,Micros,  25.1 ,  25.1 ,  13.5 ,  6.4 ,  11.4 ,  17.7 ,  50.4 ,  30.8 ,  4.7 ,  3.1 ,  7.5 ,  5.2 ,  57.2 ,  16.0 ,  32.5 ,  21.0 
2017,Region Pacifico,Sector Terciario,Comercio,Total,Pymes,  66.5 ,  66.5 ,  43.1 ,  20.8 ,  36.4 ,  54.9 ,  82.5 ,  66.0 ,  41.2 ,  16.9 ,  49.0 ,  38.7 ,  89.2 ,  44.6 ,  62.4 ,  54.0 
2017,Region Pacifico,Sector Terciario,Comercio,Total,Grandes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Pacifico,Sector Terciario,Servicios,Total,Total,  51.7 ,  51.7 ,  42.0 ,  18.1 ,  34.8 ,  48.9 ,  75.5 ,  59.5 ,  17.7 ,  10.8 ,  30.8 ,  20.2 ,  77.6 ,  43.5 ,  57.1 ,  44.7 
2017,Region Pacifico,Sector Terciario,Servicios,Total,Micros,  43.4 ,  43.4 ,  33.7 ,  15.6 ,  28.3 ,  33.1 ,  71.6 ,  48.5 ,  12.9 ,  9.0 ,  25.7 ,  15.9 ,  77.3 ,  35.9 ,  52.4 ,  37.7 
2017,Region Pacifico,Sector Terciario,Servicios,Total,Pymes,  55.8 ,  55.8 ,  45.4 ,  19.4 ,  37.6 ,  67.4 ,  78.4 ,  71.8 ,  19.9 ,  11.7 ,  28.8 ,  20.9 ,  73.5 ,  48.1 ,  58.3 ,  48.9 
2017,Region Pacifico,Sector Terciario,Servicios,Total,Grandes,  90.5 ,  90.5 ,  83.5 ,  29.3 ,  67.2 ,  92.9 ,  90.5 ,  92.0 ,  40.6 ,  18.9 ,  67.8 ,  44.4 ,  90.5 ,  77.2 ,  82.5 ,  75.3 
2017,Region Pacifico,Sector Terciario,Servicios,Transporte y almacenamiento,Total,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Pacifico,Sector Terciario,Servicios,Transporte y almacenamiento,Micros,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Pacifico,Sector Terciario,Servicios,Transporte y almacenamiento,Pymes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Pacifico,Sector Terciario,Servicios,Transporte y almacenamiento,Grandes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Pacifico,Sector Terciario,Servicios,Alojamiento y servicios de comida,Total,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Pacifico,Sector Terciario,Servicios,Alojamiento y servicios de comida,Micros,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Pacifico,Sector Terciario,Servicios,Alojamiento y servicios de comida,Pymes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Pacifico,Sector Terciario,Servicios,Alojamiento y servicios de comida,Grandes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Pacifico,Sector Terciario,Servicios,Información y comunicaciones,Total,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Pacifico,Sector Terciario,Servicios,Información y comunicaciones,Micros,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Pacifico,Sector Terciario,Servicios,Información y comunicaciones,Pymes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Pacifico,Sector Terciario,Servicios,Información y comunicaciones,Grandes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Pacifico,Sector Terciario,Servicios,Actividades financieras y de seguros,Total,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Pacifico,Sector Terciario,Servicios,Actividades financieras y de seguros,Micros,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Pacifico,Sector Terciario,Servicios,Actividades financieras y de seguros,Pymes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Pacifico,Sector Terciario,Servicios,Actividades financieras y de seguros,Grandes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Pacifico,Sector Terciario,Servicios,Actividades inmobiliarias y Actividades de servicios administrativos y de apoyo,Total,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Pacifico,Sector Terciario,Servicios,Actividades inmobiliarias y Actividades de servicios administrativos y de apoyo,Micros,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Pacifico,Sector Terciario,Servicios,Actividades inmobiliarias y Actividades de servicios administrativos y de apoyo,Pymes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Pacifico,Sector Terciario,Servicios,Actividades inmobiliarias y Actividades de servicios administrativos y de apoyo,Grandes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Pacifico,Sector Terciario,Servicios,"Actividades profesionales, científicas y técnicas",Total,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Pacifico,Sector Terciario,Servicios,"Actividades profesionales, científicas y técnicas",Micros,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Pacifico,Sector Terciario,Servicios,"Actividades profesionales, científicas y técnicas",Pymes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Pacifico,Sector Terciario,Servicios,"Actividades profesionales, científicas y técnicas",Grandes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Pacifico,Sector Terciario,Servicios,Administración pública y defensa,Total,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Pacifico,Sector Terciario,Servicios,Administración pública y defensa,Micros,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Pacifico,Sector Terciario,Servicios,Administración pública y defensa,Pymes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Pacifico,Sector Terciario,Servicios,Administración pública y defensa,Grandes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Pacifico,Sector Terciario,Servicios,Educación,Total,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Pacifico,Sector Terciario,Servicios,Educación,Micros,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Pacifico,Sector Terciario,Servicios,Educación,Pymes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Pacifico,Sector Terciario,Servicios,Educación,Grandes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Pacifico,Sector Terciario,Servicios,Atencion de salud y de asistencia social,Total,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Pacifico,Sector Terciario,Servicios,Atencion de salud y de asistencia social,Micros,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Pacifico,Sector Terciario,Servicios,Atencion de salud y de asistencia social,Pymes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Pacifico,Sector Terciario,Servicios,Atencion de salud y de asistencia social,Grandes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Pacifico,Sector Terciario,Servicios,"Actividades artísticas, de entretenimiento y recreación",Total,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Pacifico,Sector Terciario,Servicios,"Actividades artísticas, de entretenimiento y recreación",Micros,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Pacifico,Sector Terciario,Servicios,"Actividades artísticas, de entretenimiento y recreación",Pymes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Pacifico,Sector Terciario,Servicios,"Actividades artísticas, de entretenimiento y recreación",Grandes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Pacifico,Sector Terciario,Servicios,Otros servicios,Total,  48.6 ,  48.6 ,  40.8 ,  18.2 ,  34.0 ,  47.5 ,  73.4 ,  57.9 ,  17.4 ,  9.8 ,  27.7 ,  19.0 ,  75.7 ,  43.1 ,  56.2 ,  43.1 
2017,Region Pacifico,Sector Terciario,Servicios,Otros servicios,Micros,  40.0 ,  40.0 ,  35.0 ,  15.9 ,  29.3 ,  33.1 ,  69.9 ,  47.8 ,  14.0 ,  9.8 ,  21.3 ,  15.4 ,  76.2 ,  35.7 ,  51.9 ,  36.9 
2017,Region Pacifico,Sector Terciario,Servicios,Otros servicios,Pymes,  53.9 ,  53.9 ,  38.4 ,  19.0 ,  32.6 ,  63.3 ,  75.7 ,  68.2 ,  14.8 ,  5.5 ,  24.7 ,  15.9 ,  70.1 ,  49.1 ,  57.5 ,  45.6 
2017,Region Pacifico,Sector Terciario,Servicios,Otros servicios,Grandes,  89.1 ,  89.1 ,  84.6 ,  30.9 ,  68.5 ,  95.5 ,  89.1 ,  92.9 ,  46.6 ,  21.7 ,  77.8 ,  51.0 ,  89.1 ,  73.8 ,  79.9 ,  76.3 
2017,Region Central,Total,Total,Total,Total,  30.0 ,  30.0 ,  25.0 ,  13.5 ,  21.6 ,  27.8 ,  65.8 ,  43.0 ,  17.4 ,  6.4 ,  16.3 ,  14.8 ,  70.3 ,  30.1 ,  46.2 ,  31.1 
2017,Region Central,Total,Total,Total,Micros,  19.3 ,  19.3 ,  14.9 ,  8.1 ,  12.9 ,  15.7 ,  61.3 ,  33.9 ,  8.5 ,  3.7 ,  7.3 ,  7.2 ,  65.7 ,  21.6 ,  39.2 ,  22.5 
2017,Region Central,Total,Total,Total,Pymes,  60.0 ,  60.0 ,  52.2 ,  28.4 ,  45.1 ,  62.0 ,  78.6 ,  68.6 ,  40.7 ,  12.0 ,  39.8 ,  34.7 ,  83.4 ,  53.5 ,  65.5 ,  54.8 
2017,Region Central,Total,Total,Total,Grandes,  96.3 ,  96.3 ,  100.0 ,  50.5 ,  85.1 ,  98.9 ,  92.1 ,  96.2 ,  88.5 ,  41.6 ,  88.5 ,  79.1 ,  96.3 ,  88.5 ,  91.6 ,  89.7 
2017,Region Central,Sector Primario,Total,Total,Total,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Central,Sector Primario,Total,Total,Micros,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Central,Sector Primario,Total,Total,Pymes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Central,Sector Primario,Total,Total,Grandes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Central,Sector Primario,Agricultura y ganadería,Total,Total,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Central,Sector Primario,Agricultura y ganadería,Total,Micros,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Central,Sector Primario,Agricultura y ganadería,Total,Pymes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Central,Sector Primario,Agricultura y ganadería,Total,Grandes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Central,Sector Primario,Minas y canteras,Total,Total,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Central,Sector Primario,Minas y canteras,Total,Micros,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Central,Sector Primario,Minas y canteras,Total,Pymes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Central,Sector Primario,Minas y canteras,Total,Grandes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Central,Sector Secundario,Total,Total,Total,  33.3 ,  33.3 ,  42.8 ,  24.2 ,  37.2 ,  38.0 ,  69.7 ,  50.7 ,  27.5 ,  13.6 ,  25.6 ,  24.1 ,  69.0 ,  36.3 ,  49.3 ,  38.9 
2017,Region Central,Sector Secundario,Total,Total,Micros,  8.5 ,  8.5 ,  24.8 ,  15.0 ,  21.9 ,  26.5 ,  61.4 ,  40.4 ,  9.0 ,  7.0 ,  8.7 ,  8.5 ,  63.9 ,  32.0 ,  44.7 ,  24.8 
2017,Region Central,Sector Secundario,Total,Total,Pymes,  49.7 ,  49.7 ,  54.4 ,  31.1 ,  47.4 ,  44.7 ,  74.9 ,  56.8 ,  38.9 ,  19.0 ,  35.8 ,  34.0 ,  71.8 ,  37.4 ,  51.2 ,  47.8 
2017,Region Central,Sector Secundario,Total,Total,Grandes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Central,Sector Secundario,Industrias manufactureras,Total,Total,  33.1 ,  33.1 ,  43.2 ,  24.6 ,  37.6 ,  38.1 ,  70.7 ,  51.2 ,  27.3 ,  14.4 ,  25.0 ,  24.0 ,  69.1 ,  37.5 ,  50.1 ,  39.2 
2017,Region Central,Sector Secundario,Industrias manufactureras,Total,Micros,  9.1 ,  9.1 ,  26.5 ,  16.0 ,  23.3 ,  28.2 ,  63.4 ,  42.3 ,  7.5 ,  7.5 ,  9.3 ,  8.0 ,  66.0 ,  32.0 ,  45.6 ,  25.7 
2017,Region Central,Sector Secundario,Industrias manufactureras,Total,Pymes,  48.6 ,  48.6 ,  53.5 ,  31.0 ,  46.8 ,  43.3 ,  75.2 ,  56.1 ,  39.4 ,  20.0 ,  34.0 ,  33.9 ,  70.3 ,  39.4 ,  51.8 ,  47.4 
2017,Region Central,Sector Secundario,Industrias manufactureras,Total,Grandes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Central,Sector Secundario,Industrias manufactureras,"Textiles, prendas y cueros",Total,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Central,Sector Secundario,Industrias manufactureras,"Textiles, prendas y cueros",Micros,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Central,Sector Secundario,Industrias manufactureras,"Textiles, prendas y cueros",Pymes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Central,Sector Secundario,Industrias manufactureras,"Textiles, prendas y cueros",Grandes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Central,Sector Secundario,Industrias manufactureras,Alimentos y Bebidas,Total,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Central,Sector Secundario,Industrias manufactureras,Alimentos y Bebidas,Micros,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Central,Sector Secundario,Industrias manufactureras,Alimentos y Bebidas,Pymes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Central,Sector Secundario,Industrias manufactureras,Alimentos y Bebidas,Grandes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Central,Sector Secundario,Industrias manufactureras,Productos metalurgicos,Total,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Central,Sector Secundario,Industrias manufactureras,Productos metalurgicos,Micros,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Central,Sector Secundario,Industrias manufactureras,Productos metalurgicos,Pymes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Central,Sector Secundario,Industrias manufactureras,Productos metalurgicos,Grandes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Central,Sector Secundario,Industrias manufactureras,Productos de quimicos /farmaceuticos /plasticos,Total,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Central,Sector Secundario,Industrias manufactureras,Productos de quimicos /farmaceuticos /plasticos,Micros,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Central,Sector Secundario,Industrias manufactureras,Productos de quimicos /farmaceuticos /plasticos,Pymes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Central,Sector Secundario,Industrias manufactureras,Productos de quimicos /farmaceuticos /plasticos,Grandes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Central,Sector Secundario,Industrias manufactureras,Madera y muebles,Total,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Central,Sector Secundario,Industrias manufactureras,Madera y muebles,Micros,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Central,Sector Secundario,Industrias manufactureras,Madera y muebles,Pymes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Central,Sector Secundario,Industrias manufactureras,Madera y muebles,Grandes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Central,Sector Secundario,Industrias manufactureras,Papel e impresión,Total,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Central,Sector Secundario,Industrias manufactureras,Papel e impresión,Micros,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Central,Sector Secundario,Industrias manufactureras,Papel e impresión,Pymes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Central,Sector Secundario,Industrias manufactureras,Papel e impresión,Grandes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Central,Sector Secundario,Industrias manufactureras,Otros manufactura,Total,  33.1 ,  33.1 ,  43.2 ,  24.6 ,  37.6 ,  38.1 ,  70.7 ,  51.2 ,  27.3 ,  14.4 ,  25.0 ,  24.0 ,  69.1 ,  37.5 ,  50.1 ,  39.2 
2017,Region Central,Sector Secundario,Industrias manufactureras,Otros manufactura,Micros,  9.1 ,  9.1 ,  26.5 ,  16.0 ,  23.3 ,  28.2 ,  63.4 ,  42.3 ,  7.5 ,  7.5 ,  9.3 ,  8.0 ,  66.0 ,  32.0 ,  45.6 ,  25.7 
2017,Region Central,Sector Secundario,Industrias manufactureras,Otros manufactura,Pymes,  48.6 ,  48.6 ,  53.5 ,  31.0 ,  46.8 ,  43.3 ,  75.2 ,  56.1 ,  39.4 ,  20.0 ,  34.0 ,  33.9 ,  70.3 ,  39.4 ,  51.8 ,  47.4 
2017,Region Central,Sector Secundario,Industrias manufactureras,Otros manufactura,Grandes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Central,Sector Secundario,Servicios Publicos,Total,Total,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Central,Sector Secundario,Servicios Publicos,Total,Micros,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Central,Sector Secundario,Servicios Publicos,Total,Pymes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
2017,Region Central,Sector Secundario,Servicios Publicos,Total,Grandes,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
