Año,Region Geografica,Sector,Sector Economico,Sub sector,Tamaño de Empresa,Proporcion de las empresas que usan computador/laptop,Proporcion de las empresas que usan tablets o telefonos inteligentes,Proporcion de las empresa que usan internet,Proporcion de las empresas que se conectan a internet a traves de red contratada,Proporcion de las empresas con intranet,Proporcion de las empresas con LAN,Proporcion de las empresas con extranet, Infraestructura ,Porcentaje de los empleados q usan internet para sus labores,Porcentaje de las empresas que usan internet para email,Porcentaje de las empresas que usan internet para Voip,Porcentaje de las empresas que usan internet para mensaje,Porcentaje de las empresas que usan internet para capacitacion, Procesamiento ,Porcentaje de los negocios que usan internet para obtener informacion sobre bienes y servicios,Porcentaje de los negocios que usan internet para obtener informacion sobre el gobierno,"Porcentaje de los negocios que usan internet para interactuar (tramites, PQR) con el gobierno",Porcentaje de los negocios que usan internet para acceso a bancos,Porcentaje de los negocios que usan internet para compras,Porcentaje de las compras realizadas a traves de comercio electronico,Porcentaje de las empresas q realizan los pagos a proveedores o colaboradores a traves de internet,Porcentaje de las empresas que usan internet para contratar empleados,Facilidad para acceder a presonas capacitadas (4 o 5), Insumos ,Porcentaje de los negocios que usan internet para atencion a los clientes,Porcentaje de los negocios que usan internet para ventas,Porcentaje de las VENTAS realizadas a traves de comercio electronico sobre valor de ventas,Porcentaje de los negocios que reciben ordenes por internet,Porcentaje de los negocios que distribuyen productos en linea,Porcentaje de distribucion fisico vs digital,Porcentaje de empresas con medios de pago electronico para los clientes,Porcentaje de las empresas que tiene pagina WEB,Porcentaje de las empresas que tiene presencia en redes sociales,Porcentaje delas empresas que tienen aplicaciones moviles, Distribucion , Calculo del Indice 
2015,Region de la Orinoquia y Amazonia,Sector Secundario,Industrias manufactureras,Alimentos y Bebidas,Micros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region de la Orinoquia y Amazonia,Sector Secundario,Industrias manufactureras,Alimentos y Bebidas,Pymes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region de la Orinoquia y Amazonia,Sector Secundario,Industrias manufactureras,Alimentos y Bebidas,Grandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region de la Orinoquia y Amazonia,Sector Secundario,Industrias manufactureras,Productos metalurgicos,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region de la Orinoquia y Amazonia,Sector Secundario,Industrias manufactureras,Productos metalurgicos,Micros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region de la Orinoquia y Amazonia,Sector Secundario,Industrias manufactureras,Productos metalurgicos,Pymes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region de la Orinoquia y Amazonia,Sector Secundario,Industrias manufactureras,Productos metalurgicos,Grandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region de la Orinoquia y Amazonia,Sector Secundario,Industrias manufactureras,Productos de quimicos /farmaceuticos /plasticos,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region de la Orinoquia y Amazonia,Sector Secundario,Industrias manufactureras,Productos de quimicos /farmaceuticos /plasticos,Micros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region de la Orinoquia y Amazonia,Sector Secundario,Industrias manufactureras,Productos de quimicos /farmaceuticos /plasticos,Pymes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region de la Orinoquia y Amazonia,Sector Secundario,Industrias manufactureras,Productos de quimicos /farmaceuticos /plasticos,Grandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region de la Orinoquia y Amazonia,Sector Secundario,Industrias manufactureras,Madera y muebles,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region de la Orinoquia y Amazonia,Sector Secundario,Industrias manufactureras,Madera y muebles,Micros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region de la Orinoquia y Amazonia,Sector Secundario,Industrias manufactureras,Madera y muebles,Pymes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region de la Orinoquia y Amazonia,Sector Secundario,Industrias manufactureras,Madera y muebles,Grandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region de la Orinoquia y Amazonia,Sector Secundario,Industrias manufactureras,Papel e impresión,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region de la Orinoquia y Amazonia,Sector Secundario,Industrias manufactureras,Papel e impresión,Micros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region de la Orinoquia y Amazonia,Sector Secundario,Industrias manufactureras,Papel e impresión,Pymes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region de la Orinoquia y Amazonia,Sector Secundario,Industrias manufactureras,Papel e impresión,Grandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region de la Orinoquia y Amazonia,Sector Secundario,Industrias manufactureras,Otros manufactura,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region de la Orinoquia y Amazonia,Sector Secundario,Industrias manufactureras,Otros manufactura,Micros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region de la Orinoquia y Amazonia,Sector Secundario,Industrias manufactureras,Otros manufactura,Pymes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region de la Orinoquia y Amazonia,Sector Secundario,Industrias manufactureras,Otros manufactura,Grandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region de la Orinoquia y Amazonia,Sector Secundario,Servicios Publicos,Total,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region de la Orinoquia y Amazonia,Sector Secundario,Servicios Publicos,Total,Micros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region de la Orinoquia y Amazonia,Sector Secundario,Servicios Publicos,Total,Pymes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region de la Orinoquia y Amazonia,Sector Secundario,Servicios Publicos,Total,Grandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region de la Orinoquia y Amazonia,Sector Secundario,Construccion,Total,Total,100%,68%,98%,42%,14%,14%,14%,  62 ,22%,79%,10%,49%,10%,  31 ,49%,2%,1%,32%,53%,53%,10%,10%,10%,  30 ,59%,0%,0%,0%,8%,8%,1%,23%,32%,20%,  12 ,  34 
2015,Region de la Orinoquia y Amazonia,Sector Secundario,Construccion,Total,Micros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region de la Orinoquia y Amazonia,Sector Secundario,Construccion,Total,Pymes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region de la Orinoquia y Amazonia,Sector Secundario,Construccion,Total,Grandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region de la Orinoquia y Amazonia,Sector Terciario,Total,Total,Total,60%,68%,54%,30%,10%,10%,10%,  43 ,22%,43%,5%,27%,5%,  20 ,27%,8%,5%,18%,17%,17%,5%,5%,5%,  14 ,32%,2%,2%,2%,4%,4%,12%,9%,22%,1%,  8 ,  21 
2015,Region de la Orinoquia y Amazonia,Sector Terciario,Total,Total,Micros,59%,69%,53%,28%,9%,9%,9%,  42 ,31%,42%,5%,26%,5%,  23 ,26%,7%,4%,18%,17%,17%,5%,5%,5%,  14 ,32%,2%,2%,2%,4%,4%,12%,7%,20%,0%,  7 ,  21 
2015,Region de la Orinoquia y Amazonia,Sector Terciario,Total,Total,Pymes,100%,24%,100%,100%,33%,33%,33%,  65 ,31%,80%,10%,50%,10%,  34 ,50%,74%,13%,33%,7%,7%,10%,10%,10%,  23 ,60%,2%,2%,2%,8%,8%,13%,86%,89%,64%,  25 ,  37 
2015,Region de la Orinoquia y Amazonia,Sector Terciario,Total,Total,Grandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region de la Orinoquia y Amazonia,Sector Terciario,Comercio,Total,Total,59%,80%,61%,31%,10%,10%,10%,  46 ,18%,49%,6%,30%,6%,  21 ,30%,7%,0%,20%,21%,21%,6%,6%,6%,  15 ,36%,0%,0%,0%,5%,5%,13%,2%,11%,0%,  6 ,  22 
2015,Region de la Orinoquia y Amazonia,Sector Terciario,Comercio,Total,Micros,59%,80%,61%,30%,10%,10%,10%,  46 ,18%,48%,6%,30%,6%,  21 ,30%,7%,0%,20%,21%,21%,6%,6%,6%,  15 ,36%,0%,0%,0%,5%,5%,13%,2%,11%,0%,  6 ,  22 
2015,Region de la Orinoquia y Amazonia,Sector Terciario,Comercio,Total,Pymes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region de la Orinoquia y Amazonia,Sector Terciario,Comercio,Total,Grandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region de la Orinoquia y Amazonia,Sector Terciario,Servicios,Total,Total,62%,54%,45%,29%,10%,10%,10%,  38 ,31%,36%,5%,23%,5%,  21 ,23%,10%,11%,15%,12%,12%,5%,5%,5%,  12 ,27%,4%,4%,4%,3%,3%,11%,17%,35%,3%,  10 ,  20 
2015,Region de la Orinoquia y Amazonia,Sector Terciario,Servicios,Total,Micros,60%,55%,43%,26%,9%,9%,9%,  37 ,31%,34%,4%,21%,4%,  20 ,21%,7%,10%,14%,13%,13%,4%,4%,4%,  11 ,26%,4%,4%,4%,3%,3%,11%,14%,33%,0%,  9 ,  19 
2015,Region de la Orinoquia y Amazonia,Sector Terciario,Servicios,Total,Pymes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region de la Orinoquia y Amazonia,Sector Terciario,Servicios,Total,Grandes,100%,60%,100%,100%,87%,100%,20%,  83 ,30%,100%,60%,63%,53%,  58 ,100%,100%,73%,100%,60%,4%,10%,47%,53%,  62 ,80%,13%,8%,33%,27%,27%,40%,53%,53%,11%,  33 ,  59 
2015,Region de la Orinoquia y Amazonia,Sector Terciario,Servicios,Transporte y almacenamiento,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region de la Orinoquia y Amazonia,Sector Terciario,Servicios,Transporte y almacenamiento,Micros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region de la Orinoquia y Amazonia,Sector Terciario,Servicios,Transporte y almacenamiento,Pymes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region de la Orinoquia y Amazonia,Sector Terciario,Servicios,Transporte y almacenamiento,Grandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region de la Orinoquia y Amazonia,Sector Terciario,Servicios,Alojamiento y servicios de comida,Total,44%,47%,28%,11%,4%,4%,4%,  26 ,31%,22%,3%,14%,3%,  16 ,14%,0%,5%,9%,12%,12%,3%,3%,3%,  8 ,17%,0%,0%,0%,2%,2%,1%,5%,11%,0%,  3 ,  13 
2015,Region de la Orinoquia y Amazonia,Sector Terciario,Servicios,Alojamiento y servicios de comida,Micros,44%,47%,28%,11%,4%,4%,4%,  26 ,31%,22%,3%,14%,3%,  16 ,14%,0%,5%,9%,12%,12%,3%,3%,3%,  8 ,17%,0%,0%,0%,2%,2%,1%,5%,11%,0%,  3 ,  13 
2015,Region de la Orinoquia y Amazonia,Sector Terciario,Servicios,Alojamiento y servicios de comida,Pymes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region de la Orinoquia y Amazonia,Sector Terciario,Servicios,Alojamiento y servicios de comida,Grandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region de la Orinoquia y Amazonia,Sector Terciario,Servicios,Información y comunicaciones,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region de la Orinoquia y Amazonia,Sector Terciario,Servicios,Información y comunicaciones,Micros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region de la Orinoquia y Amazonia,Sector Terciario,Servicios,Información y comunicaciones,Pymes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region de la Orinoquia y Amazonia,Sector Terciario,Servicios,Información y comunicaciones,Grandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region de la Orinoquia y Amazonia,Sector Terciario,Servicios,Actividades financieras y de seguros,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region de la Orinoquia y Amazonia,Sector Terciario,Servicios,Actividades financieras y de seguros,Micros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region de la Orinoquia y Amazonia,Sector Terciario,Servicios,Actividades financieras y de seguros,Pymes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region de la Orinoquia y Amazonia,Sector Terciario,Servicios,Actividades financieras y de seguros,Grandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region de la Orinoquia y Amazonia,Sector Terciario,Servicios,Actividades inmobiliarias y Actividades de servicios administrativos y de apoyo,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region de la Orinoquia y Amazonia,Sector Terciario,Servicios,Actividades inmobiliarias y Actividades de servicios administrativos y de apoyo,Micros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region de la Orinoquia y Amazonia,Sector Terciario,Servicios,Actividades inmobiliarias y Actividades de servicios administrativos y de apoyo,Pymes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region de la Orinoquia y Amazonia,Sector Terciario,Servicios,Actividades inmobiliarias y Actividades de servicios administrativos y de apoyo,Grandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region de la Orinoquia y Amazonia,Sector Terciario,Servicios,"Actividades profesionales, científicas y técnicas",Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region de la Orinoquia y Amazonia,Sector Terciario,Servicios,"Actividades profesionales, científicas y técnicas",Micros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region de la Orinoquia y Amazonia,Sector Terciario,Servicios,"Actividades profesionales, científicas y técnicas",Pymes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region de la Orinoquia y Amazonia,Sector Terciario,Servicios,"Actividades profesionales, científicas y técnicas",Grandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region de la Orinoquia y Amazonia,Sector Terciario,Servicios,Administración pública y defensa,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region de la Orinoquia y Amazonia,Sector Terciario,Servicios,Administración pública y defensa,Micros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region de la Orinoquia y Amazonia,Sector Terciario,Servicios,Administración pública y defensa,Pymes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region de la Orinoquia y Amazonia,Sector Terciario,Servicios,Administración pública y defensa,Grandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region de la Orinoquia y Amazonia,Sector Terciario,Servicios,Educación,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region de la Orinoquia y Amazonia,Sector Terciario,Servicios,Educación,Micros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region de la Orinoquia y Amazonia,Sector Terciario,Servicios,Educación,Pymes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region de la Orinoquia y Amazonia,Sector Terciario,Servicios,Educación,Grandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region de la Orinoquia y Amazonia,Sector Terciario,Servicios,Atencion de salud y de asistencia social,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region de la Orinoquia y Amazonia,Sector Terciario,Servicios,Atencion de salud y de asistencia social,Micros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region de la Orinoquia y Amazonia,Sector Terciario,Servicios,Atencion de salud y de asistencia social,Pymes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region de la Orinoquia y Amazonia,Sector Terciario,Servicios,Atencion de salud y de asistencia social,Grandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region de la Orinoquia y Amazonia,Sector Terciario,Servicios,"Actividades artísticas, de entretenimiento y recreación",Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region de la Orinoquia y Amazonia,Sector Terciario,Servicios,"Actividades artísticas, de entretenimiento y recreación",Micros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region de la Orinoquia y Amazonia,Sector Terciario,Servicios,"Actividades artísticas, de entretenimiento y recreación",Pymes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region de la Orinoquia y Amazonia,Sector Terciario,Servicios,"Actividades artísticas, de entretenimiento y recreación",Grandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region de la Orinoquia y Amazonia,Sector Terciario,Servicios,Otros servicios,Total,55%,32%,30%,30%,10%,10%,10%,  29 ,31%,24%,3%,15%,3%,  17 ,15%,2%,12%,10%,17%,17%,3%,3%,3%,  10 ,18%,17%,17%,17%,2%,2%,17%,12%,34%,0%,  14 ,  18 
2015,Region de la Orinoquia y Amazonia,Sector Terciario,Servicios,Otros servicios,Micros,54%,32%,29%,29%,10%,10%,10%,  29 ,31%,23%,3%,14%,3%,  16 ,14%,2%,11%,9%,17%,17%,3%,3%,3%,  10 ,17%,17%,17%,17%,2%,2%,17%,12%,35%,0%,  14 ,  17 
2015,Region de la Orinoquia y Amazonia,Sector Terciario,Servicios,Otros servicios,Pymes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Region de la Orinoquia y Amazonia,Sector Terciario,Servicios,Otros servicios,Grandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Total,Total,Total,Total,Total,93%,65%,96%,93%,20%,45%,7%,  67 ,73%,91%,43%,57%,39%,  62 ,82%,60%,37%,62%,46%,15%,46%,27%,39%,  49 ,76%,46%,12%,44%,28%,7%,48%,55%,58%,11%,  41 ,  55 
2017,Total,Total,Total,Total,Micros,90%,64%,94%,90%,12%,38%,3%,63.9,74%,88%,36%,55%,29%,58.4,79%,50%,24%,52%,42%,14%,42%,17%,29%,42,71%,44%,11%,42%,26%,7%,40%,42%,53%,8%,37,50
2017,Total,Total,Total,Total,Pymes,98%,65%,98%,97%,28%,52%,8%,70.6,70%,96%,48%,60%,50%,65.7,85%,71%,51%,73%,49%,16%,49%,38%,50%,55,81%,46%,13%,44%,30%,7%,56%,70%,62%,14%,44,59
2017,Total,Total,Total,Total,Grandes,100%,80%,100%,100%,60%,71%,30%,82.1,79%,100%,88%,63%,82%,84.1,98%,89%,85%,90%,72%,18%,72%,64%,82%,75,97%,66%,16%,64%,46%,13%,78%,98%,82%,20%,61,76
2017,Total,Sector Primario,Total,Total,Total,92%,68%,92%,90%,14%,45%,6%,65.7,54%,89%,36%,56%,32%,52.9,73%,58%,50%,63%,32%,10%,32%,22%,32%,43,51%,21%,8%,33%,17%,3%,42%,36%,30%,7%,26,47
2017,Total,Sector Primario,Total,Total,Micros,85%,65%,85%,81%,10%,39%,4%,60.2,53%,79%,30%,50%,20%,46.8,65%,46%,34%,46%,31%,6%,31%,15%,20%,35,46%,23%,8%,30%,15%,3%,24%,23%,27%,5%,22,41
2017,Total,Sector Primario,Total,Total,Pymes,97%,72%,96%,96%,14%,45%,3%,68.6,51%,96%,35%,60%,37%,54.6,79%,68%,61%,72%,32%,13%,32%,26%,37%,48,53%,20%,8%,33%,19%,3%,52%,39%,29%,8%,28,50
2017,Total,Sector Primario,Total,Total,Grandes,100%,69%,100%,100%,41%,77%,33%,78.8,75%,100%,79%,63%,65%,77.5,84%,66%,75%,99%,41%,12%,41%,40%,65%,60,68%,18%,7%,52%,15%,1%,73%,94%,48%,19%,40,64
2017,Total,Sector Primario,Agricultura y ganadería,Total,Total,92%,71%,92%,89%,13%,45%,5%,66,53%,88%,34%,55%,27%,51.3,73%,58%,51%,64%,30%,10%,30%,21%,27%,42,51%,18%,7%,33%,18%,2%,41%,35%,29%,7%,25,46
2017,Total,Sector Primario,Agricultura y ganadería,Total,Micros,85%,68%,87%,81%,7%,37%,0%,60.5,50%,79%,25%,49%,16%,43.7,61%,41%,33%,47%,26%,6%,26%,10%,16%,32,44%,18%,7%,27%,17%,3%,26%,18%,24%,4%,20,39
2017,Total,Sector Primario,Agricultura y ganadería,Total,Pymes,96%,74%,95%,95%,14%,47%,3%,68.7,52%,95%,33%,59%,32%,53.5,82%,71%,62%,73%,31%,13%,31%,26%,32%,48,55%,17%,7%,33%,19%,2%,49%,41%,28%,8%,27,49
2017,Total,Sector Primario,Agricultura y ganadería,Total,Grandes,100%,65%,100%,100%,46%,74%,36%,78.6,71%,100%,88%,63%,61%,77.4,82%,73%,85%,100%,48%,14%,48%,46%,61%,63,65%,21%,8%,60%,16%,1%,71%,94%,55%,19%,42,65
2017,Total,Sector Primario,Minas y canteras,Total,Total,91%,59%,91%,91%,18%,45%,11%,64.7,58%,91%,44%,57%,48%,59.5,75%,57%,45%,57%,40%,8%,40%,27%,48%,45,50%,33%,10%,35%,15%,6%,44%,38%,34%,8%,30,50
2017,Total,Sector Primario,Minas y canteras,Total,Micros,81%,51%,81%,81%,19%,48%,19%,59.3,66%,81%,50%,51%,33%,57.7,80%,62%,39%,42%,47%,4%,47%,30%,33%,44,52%,39%,11%,42%,11%,5%,18%,41%,39%,8%,30,48
2017,Total,Sector Primario,Minas y canteras,Total,Pymes,100%,63%,100%,100%,17%,38%,4%,68.4,45%,99%,39%,62%,58%,59.1,68%,57%,54%,67%,37%,13%,37%,25%,58%,47,44%,30%,11%,31%,19%,7%,65%,30%,32%,6%,30,51
2017,Total,Sector Primario,Minas y canteras,Total,Grandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Total,Sector Secundario,Total,Total,Total,93%,65%,94%,92%,17%,48%,6%,66.6,59%,91%,46%,57%,36%,58,82%,65%,45%,68%,43%,13%,43%,30%,36%,50,73%,40%,12%,41%,26%,7%,49%,57%,53%,11%,39,53
2017,Total,Sector Secundario,Total,Total,Micros,87%,58%,91%,87%,5%,41%,2%,60.8,63%,86%,38%,54%,27%,54.4,71%,51%,28%,52%,38%,12%,38%,17%,27%,40,64%,42%,11%,36%,22%,7%,38%,37%,49%,7%,34,47
2017,Total,Sector Secundario,Total,Total,Pymes,96%,66%,95%,95%,20%,49%,6%,68.5,56%,94%,46%,59%,38%,58.5,87%,71%,52%,76%,44%,14%,44%,35%,38%,53,76%,37%,12%,42%,28%,7%,55%,66%,53%,13%,40,55
2017,Total,Sector Secundario,Total,Total,Grandes,100%,92%,100%,100%,64%,74%,26%,84.7,58%,100%,84%,63%,77%,75.7,94%,95%,92%,91%,62%,21%,62%,64%,77%,72,92%,55%,21%,62%,31%,5%,66%,94%,78%,19%,55,72
2017,Total,Sector Secundario,Industrias manufactureras,Total,Total,89%,62%,91%,90%,15%,46%,6%,64.1,54%,87%,39%,55%,33%,53.7,75%,58%,40%,61%,38%,11%,38%,27%,33%,45,68%,39%,12%,46%,25%,7%,48%,54%,48%,11%,38,50
2017,Total,Sector Secundario,Industrias manufactureras,Total,Micros,83%,55%,89%,86%,4%,38%,2%,58.6,62%,82%,34%,51%,22%,51.1,67%,47%,24%,47%,35%,10%,35%,16%,22%,37,63%,41%,11%,39%,22%,8%,35%,36%,48%,7%,33,45
2017,Total,Sector Secundario,Industrias manufactureras,Total,Pymes,93%,64%,92%,91%,19%,49%,7%,66.4,48%,90%,39%,57%,39%,53.7,79%,64%,48%,70%,39%,12%,39%,32%,39%,48,71%,37%,12%,51%,27%,6%,57%,66%,46%,13%,41,52
2017,Total,Sector Secundario,Industrias manufactureras,Total,Grandes,100%,94%,100%,100%,65%,72%,28%,85.2,50%,100%,82%,63%,74%,72.3,91%,93%,88%,92%,61%,16%,61%,57%,74%,71,91%,52%,15%,57%,35%,7%,71%,91%,70%,18%,53,70
2017,Total,Sector Secundario,Industrias manufactureras,"Textiles, prendas y cueros",Total,85%,68%,94%,91%,10%,45%,5%,64.4,53%,90%,44%,57%,31%,54.4,83%,54%,38%,64%,39%,9%,39%,29%,31%,45,69%,41%,12%,53%,33%,6%,46%,48%,50%,10%,40,51
2017,Total,Sector Secundario,Industrias manufactureras,"Textiles, prendas y cueros",Micros,71%,64%,87%,83%,0%,43%,0%,57,54%,81%,40%,51%,19%,49,70%,40%,17%,45%,37%,11%,37%,16%,19%,36,63%,41%,14%,43%,29%,5%,35%,29%,46%,6%,34,44
2017,Total,Sector Secundario,Industrias manufactureras,"Textiles, prendas y cueros",Pymes,100%,68%,100%,100%,14%,42%,6%,69.9,56%,100%,43%,63%,42%,59.9,95%,64%,53%,81%,40%,7%,40%,35%,42%,53,74%,42%,10%,62%,41%,6%,57%,67%,53%,13%,45,57
2017,Total,Sector Secundario,Industrias manufactureras,"Textiles, prendas y cueros",Grandes,100%,100%,100%,100%,57%,69%,30%,85.6,30%,100%,73%,63%,47%,59.4,100%,100%,100%,100%,44%,8%,44%,82%,47%,68,78%,27%,10%,78%,13%,6%,66%,78%,66%,16%,46,65
2017,Total,Sector Secundario,Industrias manufactureras,Alimentos y Bebidas,Total,95%,38%,90%,85%,19%,38%,6%,59.3,39%,81%,34%,51%,35%,46.6,60%,45%,35%,53%,37%,11%,37%,23%,35%,40,58%,40%,10%,33%,21%,4%,35%,44%,45%,9%,32,44
2017,Total,Sector Secundario,Industrias manufactureras,Alimentos y Bebidas,Micros,85%,30%,85%,78%,3%,20%,5%,50.7,45%,66%,24%,41%,25%,40.5,49%,32%,10%,38%,34%,6%,34%,13%,25%,30,43%,46%,7%,13%,11%,2%,12%,21%,40%,4%,22,36
2017,Total,Sector Secundario,Industrias manufactureras,Alimentos y Bebidas,Pymes,100%,36%,91%,87%,21%,47%,3%,61.2,33%,87%,34%,55%,36%,46.8,63%,48%,44%,58%,37%,14%,37%,25%,36%,42,65%,32%,13%,43%,22%,5%,43%,53%,43%,11%,35,46
2017,Total,Sector Secundario,Industrias manufactureras,Alimentos y Bebidas,Grandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Total,Sector Secundario,Industrias manufactureras,Productos metalurgicos,Total,99%,63%,97%,97%,15%,52%,12%,69.2,58%,97%,39%,61%,35%,57.5,83%,74%,52%,72%,49%,17%,49%,22%,35%,54,88%,55%,17%,58%,28%,12%,65%,70%,64%,14%,51,58
2017,Total,Sector Secundario,Industrias manufactureras,Productos metalurgicos,Micros,97%,46%,92%,92%,15%,37%,8%,62.1,70%,92%,30%,58%,32%,57.6,74%,65%,43%,51%,41%,9%,41%,8%,32%,43,81%,57%,14%,49%,22%,19%,48%,54%,65%,11%,45,52
