Año,Region Geografica,Sector,Sector Economico,Sub sector,Tamaño de Empresa,Porcentaje de las empresas con ciberseguridad,Porcentaje de las empresas con ciberseguridad en plan de implementación,Porcentaje de las empresas con computación en la nube ,Porcentaje de las empresas con computación en la nube en plan de implementación,INFRAESTRUCTURA,Porcentaje de las empresas con sensores/M2M/IOT,Porcentaje de las empresas con sensores/M2M/IOT en plan de implementación,Porcentaje de las empresas con robótica,Porcentaje de las empresas con robótica en plan de implementacion,Porcentaje de las empresas con impresoras 3D,Porcentaje de las empresas con impresoras 3D en plan de implementación,Porcentaje de las empresas con realidad virtual,Porcentaje de las empresas con realidad virtual en plan de implementación,PROCESAMIENTO,Porcentaje de las empresas con Big Data,Porcentaje de las empresas con Big Data en plan de implementación,Porcentaje de las empresas con inteligencia artificial,Porcentaje de las empresas con inteligencia artificial en plan de implementación,Porcentaje de las empresas con block chain,Porcentaje de las empresas con block chain en plan de implementación, DISTRIBUCION , Calculo del Indice 
2017,Region Pacifico,Sector Primario,Minas y canteras,Total,Micros,,,,,,,,,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Primario,Minas y canteras,Total,Pymes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Primario,Minas y canteras,Total,Grandes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Secundario,Total,Total,Total,16.0%,6.4%,24.9%,3.4%,14,4.9%,1.6%,0.0%,1.6%,2.0%,3.4%,0.0%,1.0%,2,1.0%,0.0%,0.0%,0.0%,0.0%,0.0%,  -   ,  5 
2017,Region Pacifico,Sector Secundario,Total,Total,Micros,,,,,,,,,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Secundario,Total,Total,Pymes,11.2%,8.1%,25.1%,2.3%,13,3.7%,0.8%,0.0%,0.8%,1.2%,3.1%,0.0%,0.0%,1,1.2%,0.0%,0.0%,0.0%,0.0%,0.0%,  -   ,  5 
2017,Region Pacifico,Sector Secundario,Total,Total,Grandes,45.6%,0.0%,38.3%,4.7%,26,14.5%,7.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,3,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%, - ,  10 
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,Total,Total,20.8%,5.6%,22.2%,1.4%,14,6.9%,1.4%,0.0%,1.4%,2.8%,1.4%,0.0%,1.4%,2,1.4%,0.0%,0.0%,0.0%,0.0%,0.0%,  -   ,  6 
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,Total,Micros,,,,,,,,,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,Total,Pymes,16.7%,7.4%,22.2%,0.0%,13,5.6%,0.0%,0.0%,0.0%,1.9%,0.0%,0.0%,0.0%,1,1.9%,0.0%,0.0%,0.0%,0.0%,0.0%,  -   ,  5 
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,Total,Grandes,50.0%,0.0%,40.0%,0.0%,27,20.0%,10.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,5,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%, - ,  11 
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,"Textiles, prendas y cueros",Total,21.4%,0.0%,14.3%,0.0%,11,7.1%,7.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%, - ,  4 
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,"Textiles, prendas y cueros",Micros,,,,,,,,,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,"Textiles, prendas y cueros",Pymes,9.1%,0.0%,9.1%,0.0%,5,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%, - ,  2 
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,"Textiles, prendas y cueros",Grandes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,Alimentos y Bebidas,Total,28.6%,0.0%,35.7%,0.0%,19,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%, - ,  6 
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,Alimentos y Bebidas,Micros,,,,,,,,,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,Alimentos y Bebidas,Pymes,30.8%,0.0%,30.8%,0.0%,18,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%, - ,  6 
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,Alimentos y Bebidas,Grandes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,Productos metalurgicos,Total,30.0%,10.0%,30.0%,0.0%,20,20.0%,0.0%,0.0%,0.0%,10.0%,0.0%,0.0%,0.0%,6,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%, - ,  9 
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,Productos metalurgicos,Micros,,,,,,,,,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,Productos metalurgicos,Pymes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,Productos metalurgicos,Grandes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,Productos de quimicos /farmaceuticos /plasticos,Total,,,,,,,,,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,Productos de quimicos /farmaceuticos /plasticos,Micros,,,,,,,,,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,Productos de quimicos /farmaceuticos /plasticos,Pymes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,Productos de quimicos /farmaceuticos /plasticos,Grandes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,Madera y muebles,Total,,,,,,,,,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,Madera y muebles,Micros,,,,,,,,,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,Madera y muebles,Pymes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,Madera y muebles,Grandes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,Papel e impresión,Total,,,,,,,,,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,Papel e impresión,Micros,,,,,,,,,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,Papel e impresión,Pymes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,Papel e impresión,Grandes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,Otros manufactura,Total,12.5%,12.5%,25.0%,0.0%,14,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%, - ,  5 
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,Otros manufactura,Micros,,,,,,,,,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,Otros manufactura,Pymes,8.3%,16.7%,25.0%,0.0%,13,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%, - ,  4 
2017,Region Pacifico,Sector Secundario,Industrias manufactureras,Otros manufactura,Grandes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Secundario,Servicios Publicos,Total,Total,,,,,,,,,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Secundario,Servicios Publicos,Total,Micros,,,,,,,,,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Secundario,Servicios Publicos,Total,Pymes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Secundario,Servicios Publicos,Total,Grandes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Secundario,Construccion,Total,Total,0.0%,7.1%,28.6%,7.1%,11,0.0%,0.0%,0.0%,0.0%,0.0%,7.1%,0.0%,0.0%,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%, - ,  4 
2017,Region Pacifico,Sector Secundario,Construccion,Total,Micros,,,,,,,,,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Secundario,Construccion,Total,Pymes,0.0%,7.7%,30.8%,7.7%,12,0.0%,0.0%,0.0%,0.0%,0.0%,7.7%,0.0%,0.0%,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%, - ,  4 
2017,Region Pacifico,Sector Secundario,Construccion,Total,Grandes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Terciario,Total,Total,Total,4.8%,8.8%,10.7%,1.4%,7,1.1%,0.9%,0.0%,1.0%,0.6%,0.6%,0.3%,0.6%,1,0.3%,1.8%,0.3%,1.3%,0.2%,0.6%,  1 ,  3 
2017,Region Pacifico,Sector Terciario,Total,Total,Micros,0.5%,10.4%,8.8%,0.0%,5,0.0%,0.2%,0.0%,0.9%,0.4%,0.4%,0.0%,0.4%,0,0.0%,0.9%,0.0%,0.4%,0.0%,0.4%,  -   ,  2 
2017,Region Pacifico,Sector Terciario,Total,Total,Pymes,14.1%,5.0%,13.9%,5.0%,10,3.9%,2.7%,0.0%,1.2%,1.2%,1.2%,1.2%,1.2%,2,0.0%,4.4%,1.2%,2.2%,0.8%,1.1%,  1 ,  4 
2017,Region Pacifico,Sector Terciario,Total,Total,Grandes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Terciario,Comercio,Total,Total,0.0%,8.3%,8.3%,0.0%,4,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%, - ,  1 
2017,Region Pacifico,Sector Terciario,Comercio,Total,Micros,0.0%,10.0%,10.0%,0.0%,5,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%, - ,  2 
2017,Region Pacifico,Sector Terciario,Comercio,Total,Pymes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Terciario,Comercio,Total,Grandes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Terciario,Servicios,Total,Total,11.3%,9.4%,13.9%,3.3%,10,2.6%,2.1%,0.0%,2.2%,1.5%,1.5%,0.8%,1.5%,1,0.8%,4.3%,0.8%,2.9%,0.5%,1.5%,  1 ,  4 
2017,Region Pacifico,Sector Terciario,Servicios,Total,Micros,1.7%,11.1%,6.5%,0.0%,5,0.0%,0.7%,0.0%,2.7%,1.3%,1.3%,0.0%,1.3%,1,0.0%,2.7%,0.0%,1.3%,0.0%,1.3%,  -   ,  2 
2017,Region Pacifico,Sector Terciario,Servicios,Total,Pymes,21.6%,7.6%,21.2%,7.7%,16,6.0%,4.2%,0.0%,1.8%,1.8%,1.8%,1.8%,1.8%,2,0.0%,6.7%,1.8%,3.4%,1.2%,1.7%,  2 ,  7 
2017,Region Pacifico,Sector Terciario,Servicios,Total,Grandes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Terciario,Servicios,Transporte y almacenamiento,Total,10.0%,0.0%,10.0%,0.0%,6,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%, - ,  2 
2017,Region Pacifico,Sector Terciario,Servicios,Transporte y almacenamiento,Micros,,,,,,,,,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Terciario,Servicios,Transporte y almacenamiento,Pymes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Terciario,Servicios,Transporte y almacenamiento,Grandes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Terciario,Servicios,Alojamiento y servicios de comida,Total,0.0%,0.0%,0.0%,0.0%,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%, - , - 
2017,Region Pacifico,Sector Terciario,Servicios,Alojamiento y servicios de comida,Micros,0.0%,0.0%,0.0%,0.0%,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%, - , - 
2017,Region Pacifico,Sector Terciario,Servicios,Alojamiento y servicios de comida,Pymes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Terciario,Servicios,Alojamiento y servicios de comida,Grandes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Terciario,Servicios,Información y comunicaciones,Total,,,,,,,,,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Terciario,Servicios,Información y comunicaciones,Micros,,,,,,,,,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Terciario,Servicios,Información y comunicaciones,Pymes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Terciario,Servicios,Información y comunicaciones,Grandes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Terciario,Servicios,Actividades financieras y de seguros,Total,30.8%,0.0%,30.8%,0.0%,18,15.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,3,0.0%,7.7%,0.0%,0.0%,7.7%,0.0%,  3 ,  8 
2017,Region Pacifico,Sector Terciario,Servicios,Actividades financieras y de seguros,Micros,,,,,,,,,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Terciario,Servicios,Actividades financieras y de seguros,Pymes,36.4%,0.0%,27.3%,0.0%,,18.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,4,0.0%,9.1%,0.0%,0.0%,9.1%,0.0%,  3 ,  2 
2017,Region Pacifico,Sector Terciario,Servicios,Actividades financieras y de seguros,Grandes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Terciario,Servicios,Actividades inmobiliarias y Actividades de servicios administrativos y de apoyo,Total,6.7%,13.3%,26.7%,6.7%,14,0.0%,6.7%,0.0%,6.7%,13.3%,0.0%,6.7%,6.7%,5,0.0%,6.7%,6.7%,6.7%,0.0%,6.7%,  3 ,  7 
2017,Region Pacifico,Sector Terciario,Servicios,Actividades inmobiliarias y Actividades de servicios administrativos y de apoyo,Micros,,,,,,,,,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Terciario,Servicios,Actividades inmobiliarias y Actividades de servicios administrativos y de apoyo,Pymes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Terciario,Servicios,Actividades inmobiliarias y Actividades de servicios administrativos y de apoyo,Grandes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Terciario,Servicios,"Actividades profesionales, científicas y técnicas",Total,10.3%,17.2%,10.3%,10.3%,12,6.9%,0.0%,0.0%,3.4%,0.0%,6.9%,0.0%,3.4%,2,3.4%,10.3%,0.0%,6.9%,0.0%,0.0%,  2 ,  5 
2017,Region Pacifico,Sector Terciario,Servicios,"Actividades profesionales, científicas y técnicas",Micros,0.0%,20.0%,6.7%,0.0%,6,0.0%,0.0%,0.0%,0.0%,0.0%,6.7%,0.0%,0.0%,0,0.0%,6.7%,0.0%,0.0%,0.0%,0.0%,  1 ,  2 
2017,Region Pacifico,Sector Terciario,Servicios,"Actividades profesionales, científicas y técnicas",Pymes,15.4%,15.4%,7.7%,23.1%,15,15.4%,0.0%,0.0%,7.7%,0.0%,7.7%,0.0%,7.7%,4,0.0%,15.4%,0.0%,7.7%,0.0%,0.0%,  2 ,  7 
2017,Region Pacifico,Sector Terciario,Servicios,"Actividades profesionales, científicas y técnicas",Grandes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Terciario,Servicios,Administración pública y defensa,Total,,,,,,,,,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Terciario,Servicios,Administración pública y defensa,Micros,,,,,,,,,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Terciario,Servicios,Administración pública y defensa,Pymes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Terciario,Servicios,Administración pública y defensa,Grandes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Terciario,Servicios,Educación,Total,20.0%,6.7%,33.3%,6.7%,19,0.0%,6.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0.0%,20.0%,0.0%,6.7%,0.0%,0.0%,  2 ,  7 
2017,Region Pacifico,Sector Terciario,Servicios,Educación,Micros,,,,,,,,,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Terciario,Servicios,Educación,Pymes,20.0%,10.0%,40.0%,10.0%,22,0.0%,10.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1,0.0%,30.0%,0.0%,10.0%,0.0%,0.0%,  3 ,  9 
2017,Region Pacifico,Sector Terciario,Servicios,Educación,Grandes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Terciario,Servicios,Atencion de salud y de asistencia social,Total,10.0%,20.0%,25.0%,0.0%,15,0.0%,15.0%,0.0%,10.0%,0.0%,0.0%,0.0%,0.0%,1,0.0%,0.0%,0.0%,5.0%,0.0%,10.0%,  1 ,  6 
2017,Region Pacifico,Sector Terciario,Servicios,Atencion de salud y de asistencia social,Micros,0.0%,14.3%,7.1%,0.0%,5,0.0%,7.1%,0.0%,14.3%,0.0%,0.0%,0.0%,0.0%,1,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%, - ,  2 
2017,Region Pacifico,Sector Terciario,Servicios,Atencion de salud y de asistencia social,Pymes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Terciario,Servicios,Atencion de salud y de asistencia social,Grandes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Terciario,Servicios,"Actividades artísticas, de entretenimiento y recreación",Total,,,,,,,,,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Terciario,Servicios,"Actividades artísticas, de entretenimiento y recreación",Micros,,,,,,,,,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Terciario,Servicios,"Actividades artísticas, de entretenimiento y recreación",Pymes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Terciario,Servicios,"Actividades artísticas, de entretenimiento y recreación",Grandes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Terciario,Servicios,Otros servicios,Total,,,,,,,,,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Terciario,Servicios,Otros servicios,Micros,,,,,,,,,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Terciario,Servicios,Otros servicios,Pymes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Pacifico,Sector Terciario,Servicios,Otros servicios,Grandes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Central,Total,Total,Total,Total,35.4%,15.5%,21.1%,12.0%,22,11.1%,9.6%,1.7%,3.7%,2.0%,4.8%,1.7%,5.4%,4,4.6%,7.5%,2.7%,3.3%,2.6%,3.6%,  4 ,  10 
2017,Region Central,Total,Total,Total,Micros,26.3%,17.6%,13.0%,9.3%,17,10.5%,9.3%,1.0%,2.5%,1.0%,4.1%,1.2%,4.3%,4,1.4%,4.5%,0.6%,3.7%,1.6%,3.5%,  2 ,  8 
2017,Region Central,Total,Total,Total,Pymes,44.8%,13.0%,29.2%,15.1%,28,12.2%,6.7%,0.6%,4.7%,3.1%,5.5%,2.5%,7.5%,5,6.9%,10.8%,5.0%,2.1%,3.3%,3.7%,  5 ,  13 
2017,Region Central,Total,Total,Total,Grandes,84.0%,6.2%,65.5%,24.0%,51,12.0%,25.6%,14.4%,10.9%,7.9%,8.8%,2.8%,6.1%,10,25.5%,21.6%,13.2%,5.3%,9.8%,4.5%,  15 ,  25 
2017,Region Central,Sector Primario,Total,Total,Total,20.4%,15.8%,15.7%,11.3%,16,11.4%,3.3%,1.1%,3.3%,1.1%,4.4%,1.1%,0.0%,4,4.4%,3.3%,2.2%,2.2%,0.0%,1.1%,  2 ,  7 
2017,Region Central,Sector Primario,Total,Total,Micros,15.5%,10.2%,6.8%,10.3%,11,7.0%,1.7%,0.0%,0.0%,0.0%,3.3%,0.0%,0.0%,2,0.0%,0.0%,0.0%,1.7%,0.0%,1.7%,  -   ,  4 
2017,Region Central,Sector Primario,Total,Total,Pymes,19.0%,28.9%,37.9%,9.5%,25,24.1%,9.5%,0.0%,9.5%,0.0%,9.5%,4.7%,0.0%,7,4.7%,9.5%,4.7%,4.7%,0.0%,0.0%,  4 ,  12 
2017,Region Central,Sector Primario,Total,Total,Grandes,56.0%,22.0%,22.0%,22.0%,32,11.0%,0.0%,11.0%,11.0%,11.0%,0.0%,0.0%,0.0%,7,33.0%,11.0%,11.0%,0.0%,0.0%,0.0%,  12 ,  17 
2017,Region Central,Sector Primario,Agricultura y ganadería,Total,Total,14.9%,14.9%,17.9%,9.0%,15,6.0%,4.5%,1.5%,4.5%,1.5%,6.0%,1.5%,0.0%,3,6.0%,4.5%,3.0%,3.0%,0.0%,1.5%,  3 ,  7 
2017,Region Central,Sector Primario,Agricultura y ganadería,Total,Micros,7.3%,9.8%,4.9%,4.9%,7,0.0%,2.4%,0.0%,0.0%,0.0%,4.9%,0.0%,0.0%,0,0.0%,0.0%,0.0%,2.4%,0.0%,2.4%,  -   ,  2 
2017,Region Central,Sector Primario,Agricultura y ganadería,Total,Pymes,21.1%,21.1%,42.1%,10.5%,25,15.8%,10.5%,0.0%,10.5%,0.0%,10.5%,5.3%,0.0%,6,5.3%,10.5%,5.3%,5.3%,0.0%,0.0%,  4 ,  12 
2017,Region Central,Sector Primario,Agricultura y ganadería,Total,Grandes,42.9%,28.6%,28.6%,28.6%,33,14.3%,0.0%,14.3%,14.3%,14.3%,0.0%,0.0%,0.0%,9,42.9%,14.3%,14.3%,0.0%,0.0%,0.0%,  15 ,  19 
2017,Region Central,Sector Primario,Minas y canteras,Total,Total,36.4%,18.2%,9.1%,18.2%,21,27.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,5,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%, - ,  9 
2017,Region Central,Sector Primario,Minas y canteras,Total,Micros,,,,,,,,,,,,,,,,,,,,,,
2017,Region Central,Sector Primario,Minas y canteras,Total,Pymes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Central,Sector Primario,Minas y canteras,Total,Grandes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Central,Sector Secundario,Total,Total,Total,33.2%,16.1%,14.9%,13.1%,20,13.5%,9.7%,0.0%,2.6%,1.1%,8.3%,0.5%,4.8%,4,2.6%,7.0%,0.5%,1.0%,1.6%,1.3%,  2 ,  9 
2017,Region Central,Sector Secundario,Total,Total,Micros,29.9%,16.2%,13.1%,5.7%,17,10.5%,13.9%,0.0%,2.3%,0.0%,6.8%,1.1%,1.1%,4,4.8%,0.0%,1.1%,2.3%,1.1%,1.1%,  2 ,  8 
2017,Region Central,Sector Secundario,Total,Total,Pymes,35.5%,15.2%,14.5%,17.5%,22,16.7%,6.0%,0.0%,3.0%,2.1%,10.0%,0.0%,8.1%,5,0.9%,11.3%,0.0%,0.0%,2.1%,1.5%,  2 ,  9 
2017,Region Central,Sector Secundario,Total,Total,Grandes,39.9%,30.1%,45.1%,39.9%,39,0.0%,15.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1,0.0%,30.1%,0.0%,0.0%,0.0%,0.0%,  3 ,  14 
2017,Region Central,Sector Secundario,Industrias manufactureras,Total,Total,24.8%,16.5%,11.3%,9.0%,16,12.0%,9.8%,0.0%,2.3%,0.0%,7.5%,0.8%,2.3%,4,2.3%,6.0%,0.8%,1.5%,0.8%,0.8%,  2 ,  7 
2017,Region Central,Sector Secundario,Industrias manufactureras,Total,Micros,21.4%,17.1%,10.0%,7.1%,14,10.0%,14.3%,0.0%,2.9%,0.0%,8.6%,1.4%,1.4%,4,2.9%,0.0%,1.4%,2.9%,1.4%,1.4%,  2 ,  7 
2017,Region Central,Sector Secundario,Industrias manufactureras,Total,Pymes,29.3%,13.8%,8.6%,10.3%,16,15.5%,3.4%,0.0%,1.7%,0.0%,6.9%,0.0%,3.4%,4,1.7%,10.3%,0.0%,0.0%,0.0%,0.0%,  1 ,  7 
2017,Region Central,Sector Secundario,Industrias manufactureras,Total,Grandes,20.0%,40.0%,60.0%,20.0%,36,0.0%,20.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1,0.0%,40.0%,0.0%,0.0%,0.0%,0.0%,  3 ,  13 
2017,Region Central,Sector Secundario,Industrias manufactureras,"Textiles, prendas y cueros",Total,21.4%,16.7%,9.5%,9.5%,15,7.1%,7.1%,0.0%,0.0%,0.0%,7.1%,0.0%,0.0%,2,0.0%,7.1%,0.0%,4.8%,0.0%,2.4%,  1 ,  6 
2017,Region Central,Sector Secundario,Industrias manufactureras,"Textiles, prendas y cueros",Micros,14.8%,18.5%,7.4%,7.4%,12,7.4%,11.1%,0.0%,0.0%,0.0%,7.4%,0.0%,0.0%,2,0.0%,0.0%,0.0%,7.4%,0.0%,3.7%,  1 ,  5 
2017,Region Central,Sector Secundario,Industrias manufactureras,"Textiles, prendas y cueros",Pymes,38.5%,15.4%,15.4%,7.7%,21,7.7%,0.0%,0.0%,0.0%,0.0%,7.7%,0.0%,0.0%,2,0.0%,15.4%,0.0%,0.0%,0.0%,0.0%,  1 ,  8 
2017,Region Central,Sector Secundario,Industrias manufactureras,"Textiles, prendas y cueros",Grandes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Central,Sector Secundario,Industrias manufactureras,Alimentos y Bebidas,Total,33.3%,16.7%,11.1%,11.1%,19,5.6%,5.6%,0.0%,0.0%,0.0%,11.1%,0.0%,0.0%,2,5.6%,11.1%,0.0%,0.0%,0.0%,0.0%,  2 ,  8 
2017,Region Central,Sector Secundario,Industrias manufactureras,Alimentos y Bebidas,Micros,30.0%,10.0%,10.0%,10.0%,16,10.0%,10.0%,0.0%,0.0%,0.0%,10.0%,0.0%,0.0%,3,10.0%,0.0%,0.0%,0.0%,0.0%,0.0%,  3 ,  7 
2017,Region Central,Sector Secundario,Industrias manufactureras,Alimentos y Bebidas,Pymes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Central,Sector Secundario,Industrias manufactureras,Alimentos y Bebidas,Grandes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Central,Sector Secundario,Industrias manufactureras,Productos metalurgicos,Total,50.0%,40.0%,20.0%,10.0%,31,20.0%,10.0%,0.0%,20.0%,0.0%,10.0%,0.0%,20.0%,7,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%, - ,  13 
2017,Region Central,Sector Secundario,Industrias manufactureras,Productos metalurgicos,Micros,,,,,,,,,,,,,,,,,,,,,,
2017,Region Central,Sector Secundario,Industrias manufactureras,Productos metalurgicos,Pymes,,,,,,,,,,,,,,,,,,,,,,
2017,Region Central,Sector Secundario,Industrias manufactureras,Productos metalurgicos,Grandes,,,,,,,,,,,,,,,,,,,,,,
